Headline,Domain,Keywords,Sentiment
The '#Melodi' Moment: Italy PM Giorgia Meloni Shares Selfie With PM Modi,India-Global,"['melodi', 'moment', 'italy', 'pm', 'giorgia', 'meloni', 'share', 'selfie', 'pm', 'modi']",Positive
"PM Modi Meets UAE President, Discusses Israel-Hamas War",India-Global,"['pm', 'modi', 'meet', 'uae', 'president', 'discus', 'israel-hamas', 'war']",Negative
"PM Modi Meets Israeli President, Emphasizes On Support For 2-State Solution",India-Global,"['pm', 'modi', 'meet', 'israeli', 'president', 'emphasizes', 'support', '2-state', 'solution']",Positive
PM Modi Meets Israeli President Isaac Herzog On Sidelines Of COP28,India-Global,"['pm', 'modi', 'meet', 'israeli', 'president', 'isaac', 'herzog', 'sideline', 'cop28']",Neutral
"Rich Nations Should Reduce Their Carbon Footprint ""Well Before"" 2050: PM Modi",India-Global,"['rich', 'nation', 'reduce', 'carbon', 'footprint', '``', 'well', ""''"", '2050', 'pm', 'modi']",Positive
"India, China Agree To Hold Next Round Of Military Talks At The Earliest",India-Global,"['india', 'china', 'agree', 'hold', 'next', 'round', 'military', 'talk', 'earliest']",Positive
PM Modi Leaves For Dubai To Attend World Climate Action Summit,India-Global,"['pm', 'modi', 'leaf', 'dubai', 'attend', 'world', 'climate', 'action', 'summit']",Neutral
India Walked The Talk When It Comes To Climate Action: PM Modi,India-Global,"['india', 'walked', 'talk', 'come', 'climate', 'action', 'pm', 'modi']",Neutral
"""Contrary To Policy"": India On US Alleging Official's Role In Murder Plot",India-Global,"['``', 'contrary', 'policy', ""''"", 'india', 'u', 'alleging', 'official', ""'s"", 'role', 'murder', 'plot']",Negative
Henry Kissinger Advocated Strong Ties With India Under PM Modi,India-Global,"['henry', 'kissinger', 'advocated', 'strong', 'tie', 'india', 'pm', 'modi']",Positive
Indira Gandhi-PN Haksar Outplayed Nixon-Kissinger In 1971: Jairam Ramesh,India-Global,"['indira', 'gandhi-pn', 'haksar', 'outplayed', 'nixon-kissinger', '1971', 'jairam', 'ramesh']",Neutral
"Taliban Says Afghan Consulates Reopened In Mumbai, Hyderabad: Report",India-Global,"['taliban', 'say', 'afghan', 'consulate', 'reopened', 'mumbai', 'hyderabad', 'report']",Neutral
India Aiming For Half Million Foreign Students By 2047: NITI Aayog CEO,India-Global,"['india', 'aiming', 'half', 'million', 'foreign', 'student', '2047', 'niti', 'aayog', 'ceo']",Neutral
"US To Launch New Plan For Work Visas In December, Indians To Benefit Most",India-Global,"['u', 'launch', 'new', 'plan', 'work', 'visa', 'december', 'indian', 'benefit']",Positive
American Chip Maker AMD Unveils Largest Global Design Centre In Bengaluru,India-Global,"['american', 'chip', 'maker', 'amd', 'unveils', 'largest', 'global', 'design', 'centre', 'bengaluru']",Neutral
"Sri Lanka Implements Free Tourist Visas To Nationals From India, 6 Nations",India-Global,"['sri', 'lanka', 'implement', 'free', 'tourist', 'visa', 'national', 'india', '6', 'nation']",Positive
Video: Khalistani Protesters Heckle Indian Envoy Visiting US Gurdwara,India-Global,"['video', 'khalistani', 'protester', 'heckle', 'indian', 'envoy', 'visiting', 'u', 'gurdwara']",Negative
"""Love Is In The Air"": Dubai Couple Get Married On Boeing Aircraft",India-Global,"['``', 'love', 'air', ""''"", 'dubai', 'couple', 'get', 'married', 'boeing', 'aircraft']",Positive
This Country To Allow Visa-Free Entry To Indians From December 1,India-Global,"['country', 'allow', 'visa-free', 'entry', 'indian', 'december', '1']",Positive
"""Exactly Like Hamas"": Israeli Envoy On Mumbai Terror Attacks",India-Global,"['``', 'exactly', 'like', 'hamas', ""''"", 'israeli', 'envoy', 'mumbai', 'terror', 'attack']",Negative
"NASA Administrator To Visit India For Meetings With Scientists, Officials",India-Global,"['nasa', 'administrator', 'visit', 'india', 'meeting', 'scientist', 'official']",Neutral
"""India Was Convicted Even Without..."": Envoy On Hardeep Nijjar Probe",India-Global,"['``', 'india', 'convicted', 'even', 'without', '...', ""''"", 'envoy', 'hardeep', 'nijjar', 'probe']",Neutral
"Russia Says ""Good Results"" Achieved Under G20 Summit Hosted By India",India-Global,"['russia', 'say', '``', 'good', 'result', ""''"", 'achieved', 'g20', 'summit', 'hosted', 'india']",Positive
"India, Bangladesh Hold Talks On Teesta River Dispute, Trade, Security",India-Global,"['india', 'bangladesh', 'hold', 'talk', 'teesta', 'river', 'dispute', 'trade', 'security']",Negative
"India's ""Vicious Cycle Of Debt Traps"" Warning At UN Meet Presided By China",India-Global,"['india', ""'s"", '``', 'vicious', 'cycle', 'debt', 'trap', ""''"", 'warning', 'un', 'meet', 'presided', 'china']",Negative
"यूपी सरकार ने UPPCS प्रारंभिक परीक्षा की स्थगित, 17 मार्च को होना था एग्जाम",education,"['यूपी', 'सरकार', 'ने', 'प्रारंभिक']",Neutral
"रेलवे बोर्ड अध्यक्षा से मिलकर अनुपम ने उठाया खाली पड़े पदों का मुद्दा, नए साल में नई भर्ती के आसार",education,"['रेलवे', 'बोर्ड', 'अध्यक्षा', 'से', 'मिलकर']",Neutral
"CAT 2023 का परिणाम जारी, ऐसे चेक करें कैट परीक्षा का रिजल्ट",education,"['का', 'परिणाम', 'जारी']",Neutral
"भारत के 28 छात्रों को इस साल अमेरिका ने वापस भेजा, केंद्र ने लोकसभा में दी जानकारी",education,"['ने', 'भारत', 'के', 'छात्रों']",Neutral
"अब 22 भारतीय भाषाओं में हो सकेगी CBSE की पढ़ाई, 28 हजार स्कूलों को एडवाइजरी जारी",education,"['अब', 'भारतीय', 'भाषाओं', 'में']",Neutral
CUET-PG Results : सीयूईटी स्नातकोत्तर के परिणाम घोषित : राष्ट्रीय परीक्षा एजेंसी,education,"['सीयूईटी', 'स्नातकोत्तर']",Neutral
"Seekho Kamao Yojana: मुख्यमंत्री चौहान की सीखो कमाओ योजना के लिए अब तक 289962 अभ्यर्थी पंजीकृत, प्रतिमाह मिलेगा 8 से 10 हजार रुपये, आप भी उठाएं इसका लाभ",education,[],Neutral
"आईआईटी प्रवेश परीक्षा जेईई एडवांस्ड के परिणाम घोषित, वाविलला रेड्डी ने किया टॉप",education,"['आईआईटी', 'प्रवेश', 'परीक्षा', 'जेईई', 'एडवांस्ड']",Neutral
"इस साल 50 नए मेडिकल कॉलेज खुलेंगे, MBBS की 8,195 सीटें बढ़ेंगी : सूत्र",education,"['इस', 'साल', 'नए', 'मेडिकल']",Neutral
"पढ़ाई का बोझ कम करने की कवायद, NCERT ने 10वीं के सिलेबस से हटाई पीरियोडिक टेबल",education,"['पढ़ाई', 'का', 'बोझ', 'कम', 'करने']",Neutral
"दक्षिण राज्यों में 11वीं-12वीं के छात्र लेते हैं साइंस स्ट्रीम, नॉर्थ के बच्चों को आर्ट्स में ज्यादा दिलचस्पी: स्टडी",education,"['में', 'के', 'दक्षिण', 'राज्यों', 'वीं', 'वीं']",Neutral
विभिन्न बोर्ड के छात्रों के प्रदर्शन में अंतर एक चुनौती: शिक्षा मंत्रालय की स्टडी,education,"['के', 'विभिन्न', 'बोर्ड', 'छात्रों', 'प्रदर्शन']",Neutral
राजीव गांधी विश्वविद्यालय भारत के शीर्ष केंद्रीय विश्वविद्यालयों में 16वें स्थान पर,education,"['राजीव', 'गांधी', 'विश्वविद्यालय', 'भारत', 'के']",Neutral
"कहानी कामयाबी की: चोट की वजह से क्रिकेट छोड़ने वाले मनोज, झोपड़पट्टी में पले सैय्यद ने ऐसे क्रैक किया UPSC",education,"['की', 'कहानी', 'कामयाबी', 'चोट']",Neutral
"WBCHSE Results : पश्चिम बंगाल बोर्ड की 12वीं कक्षा का रिजल्ट जारी, 89% विद्यार्थी सफल",education,"['पश्चिम', 'बंगाल']",Neutral
"MP Board Result 2023 डेट पर अधिकारी ने कहा 'रिजल्ट अभी नहीं होगा जारी', स्टूडेंट को करना होगा थोड़ा और इंतजार",education,['होगा'],Neutral
"Gujarat CET का रिजल्ट हुआ जारी, काउंसलिंग के लिए रजिस्ट्रेशन प्रोसेस भी शुरू, इस तारीख तक मिलेगा मौका",education,"['का', 'रिजल्ट']",Neutral
"CUET UG 2023 फॉर्म भरने में हो गई है कोई गलती, तो कोई बात नहीं, इस लिंक से फटाफट कर सकेंगे सुधार",education,['कोई'],Neutral
"जेईई मेन का रिजल्ट जारी, 43 छात्रों को मिले शतप्रतिशत अंक",education,"['जेईई', 'मेन', 'का', 'रिजल्ट', 'जारी']",Neutral
"CISCE ISC, ICSE Board Result 2023: यहां जानिए आईसीएसई और आईएससी बोर्ड रिजल्ट की डेट और टाइम पर बड़ी अपडेट",education,['और'],Neutral
"इलाहाबाद यूनिवर्सिटी में निकल गया फॉर्म, LLB और LLM कोर्सों में दाखिले के लिए इस तारीख तक भर सकते हैं फॉर्म",education,"['में', 'फॉर्म', 'इलाहाबाद', 'यूनिवर्सिटी', 'निकल']",Neutral
"Engineering नहीं, अमेरिका पढ़ने जाने वाले छात्रों की पहली पसंद है फिजिकल साइंस, ग्रेजुएट रिकॉर्ड एक्जामिनेशन के आंकड़ों में हुआ खुलासा",education,"['नहीं', 'अमेरिका', 'पढ़ने']",Neutral
JMI Admission: विभिन्‍न कोर्सेज में प्रवेश के लिए आज से शुरू हुई प्रवेश परीक्षा,education,"['प्रवेश', 'विभिन्', 'न']",Neutral
Delhi University में स्नातक और स्नातकोत्तर पाठ्यक्रमों में दाखिले के लिए दो अलग-अलग पोर्टल की होगी शुरुआत,education,"['में', 'स्नातक', 'और']",Neutral
"सीबीएसई बोर्ड परीक्षा: बहुविकल्पीय प्रश्नों पर ध्यान, लघु और दीर्घ उत्तरीय प्रश्नों का 'वेटेज' घटाया",education,"['प्रश्नों', 'सीबीएसई', 'बोर्ड', 'परीक्षा']",Neutral
"CUET-UG के दूसरे संस्करण में करीब 14 लाख आवेदन मिले, सबसे अधिक DU के लिए",education,"['के', 'दूसरे', 'संस्करण', 'में']",Neutral
"BSEB 10th Result Updates : बिहार बोर्ड 10वीं का रिजल्‍ट हुआ जारी, ऐसे करें चेक",education,[],Neutral
"Bihar Board 12th Result 2023: बिहार बोर्ड इंटर का रिजल्ट घोषित, ऐसे करें चेक",education,[],Neutral
महाराष्ट्र में अप्रैल तक भरे जाएंगे 30 हजार शिक्षकों के पद,education,"['महाराष्ट्र', 'में', 'अप्रैल', 'तक', 'भरे']",Neutral
"मैथिली भाषा में कक्षा 5 तक के लिए पाठ्यक्रम बनाई जा सकती है, शिक्षा मंत्रालय ने लोकसभा में दी जानकारी",education,"['में', 'मैथिली', 'भाषा', 'कक्षा']",Neutral
मेलबर्न यूनिवर्सिटी ने तीन भारतीय यूनिवर्सिटी के साथ शुरू की बेचलर ऑफ साइंस डुअल डिग्री,education,"['यूनिवर्सिटी', 'मेलबर्न', 'ने', 'तीन', 'भारतीय']",Neutral
"प्रश्‍नपत्र पढ़ रहे थे कि अचानक रद्द हो गई परीक्षा, DU के 'SOL' ने रविवार का एग्‍जाम भी किया कैंसिल",education,"['प्रश्', 'नपत्र', 'पढ़', 'रहे', 'थे', 'कि']",Neutral
Jamia Millia Islamia इस साल सिर्फ 20 कोर्सेस में देगा CUET से एडमिशन,education,"['इस', 'साल']",Neutral
"National Science Day 2023: विज्ञान के क्षेत्र में घटी थी बड़ी घटना, रमन इफेक्ट की हुई थी खोज, जानिए डिटेल्स",education,['थी'],Neutral
Board Exams 2023: CBSE ने छात्रों को प्रश्नपत्र लीक होने से जुड़ी अफवाहों के प्रति किया आगाह,education,[],Neutral
"CISCE Board Exam 2023: आईसीएसई कक्षा 10वीं की बोर्ड परीक्षा 11 बजे से शुरू, आज है इंग्लिश का पेपर",education,[],Neutral
सैनिक स्कूलों में एडमिशन के लिए अखिल भारतीय प्रवेश परीक्षा के परिणाम घोषित,education,"['के', 'सैनिक', 'स्कूलों', 'में', 'एडमिशन']",Neutral
"NEET-PG के लिए 2.09 लाख पंजीकृत, परीक्षा स्थगित हुई तो कोई वैकल्पिक तिथि उपलब्ध नहीं: सुप्रीम कोर्ट में एनबीई",education,"['के', 'लिए', 'लाख']",Neutral
"West Bengal Board Exam 2023: पश्चिम बंगाल की बोर्ड परीक्षा आज से शुरू, पहले दिन ‘First Language’ की परीक्षा, एग्जाम गाइडलाइन्स",education,"['की', 'परीक्षा']",Positive
"AIBE XVII 2023: ऑल इंडिया बार एग्जाम के नतीजे जल्द, जानिए क्वालिफाई करने के लिए चाहिए कितने मार्क्स",education,['के'],Neutral
"Maharashtra Board Exams 2023: महाराष्ट्र बोर्ड 12वीं की परीक्षाएं आज से शुरू, 10 हजार एग्जाम सेंटर पर हो रही परीक्षा",education,[],Neutral
"AISSEE 2023 Result: सैनिक स्कूल एंट्रेंस परीक्षा दी है, तो aissee.nta.nic.in पर रिजल्ट चेक करने के लिए हो जाएं तैयार",education,['सैनिक'],Neutral
"Haryana Board Exam 2023: हरियाणा बोर्ड की लेटेस्ट खबर, कक्षा 10वीं, 12वीं बोर्ड परीक्षा के लिए जारी हुआ एडमिट कार्ड",education,['बोर्ड'],Neutral
"CTET Answer Key 2022: सीटीईटी आंसर-की पर आपत्ति दर्ज कराने का आखिरी मौका कल, ऐसे करें ऑब्जेक्शन",education,[],Neutral
"JNVST Class 6 Admission 2023: नवोदय विद्यालय के कक्षा 6 में आवेदन करने की आज है अंतिम तारीख, फटाफट अप्लाई करें",education,[],Neutral
"CTET 2022 Answer key: केंद्रीय शिक्षक पात्रता परीक्षा का आंसर-की जारी, इस डेट तक दर्ज कराएं आपत्ति",education,[],Neutral
"13 फरवरी को अमेरिका ने बगदाद के रिहायशी इलाकों में बरसाया बम, जिसमें गई सैकड़ों की जान",education,"['फरवरी', 'को', 'अमेरिका', 'ने']",Neutral
"AFCAT Admit Card 2023: भारतीय वायु सेना परीक्षा के लिए एडमिट कार्ड जारी, परीक्षा 24 फरवरी से शुरू",education,['परीक्षा'],Neutral
"NEET SS 2022: natboard.edu.in पर जारी हुआ नीट एसएस रीवाइज्ड कटऑफ मार्क्स, फुल डिटेल यहां",education,[],Neutral
"Today In History: आजाद भारत की जनगणना के इतिहास में 9 फरवरी का है खासा महत्व, जानिए क्या हुआ इस दिन",education,"['आजाद', 'भारत']",Neutral
Today In History: 8 फरवरी को हुई थी दुनिया के पहले इलेक्ट्रॉनिक शेयर बाजार Nasdaq की शुरुआत,education,['फरवरी'],Neutral
"NIFT GAT 2023: निफ्ट गेट 2023 री-एग्जाम, इन एग्जाम सेंटर पर दोबारा होगी परीक्षा",education,['निफ्ट'],Neutral
"6 फरवरी को चांद पर हुई थी एक बड़ी घटना, इंसान ने चांद की जमीन पर खेला था गोल्फ",education,"['चांद', 'पर', 'फरवरी', 'को']",Neutral
"Delhi Nursery Admission 2023: दिल्ली नर्सरी एडमिशन की दूसरी मेरिट लिस्ट आज, edudel.nic.in से करें चेक",education,[],Neutral
"NEET PG 2023 एडिट विंडो आज हो जाएगी बंद, फटाफट आवेदन में कर लें सुधार",education,"['एडिट', 'विंडो']",Neutral
"कोलकाता स्थित भारतीय संग्रहालय की आज हुई थी स्थापना, खूबसूरती ऐसी जिसे देखने में लग सकते हैं कई दिन",education,"['कोलकाता', 'स्थित', 'भारतीय', 'संग्रहालय', 'की']",Neutral
"Bihar Board 12th Exams 2023: बिहार बोर्ड की इंटरमीडिएट परीक्षाएं शुरू, पहले ही दिन लीक हुआ पेपर, लेटेस्ट अपडेट",education,[],Neutral
"1 फरवरी अंतरिक्ष यात्रा का काला दिन, इसी दिन हुई थी कल्पना चावला की मौत",education,"['दिन', 'फरवरी', 'अंतरिक्ष', 'यात्रा']",Neutral
NVS Class 6 Admissions 2023: नवोदय विद्यालय के कक्षा 6 में एडमिशन के लिए अब इस डेट तक कर सकते हैं Apply,education,['के'],Neutral
"NEET MDS 2023 रजिस्ट्रेशन की अंतिम तारीख आज, nbe.edu.in से अप्लाई करें",education,"['रजिस्ट्रेशन', 'की']",Neutral
CLAT 2023: क्लैट काउंसलिंग के सेकेंड सीट अलॉटमेंट की लिस्ट consortiumofnlus.ac.in पर जारी,education,"['क्लैट', 'काउंसलिंग']",Neutral
PM नरेंद्र मोदी की मास्टर क्लास : पिछली बार के मुकाबले 146% बढ़े 'परीक्षा पे चर्चा' में रजिस्ट्रेशन करवाने वाले बच्चे,education,"['नरेंद्र', 'मोदी', 'की', 'मास्टर']",Neutral
'मोदी सर' की 'मास्टर क्लास' : 'परीक्षा पे चर्चा' में PM नरेंद्र मोदी की 10 खास बातें...,education,"['मोदी', 'की', 'सर', 'मास्टर']",Neutral
अमेरिकी प्रतिष्ठित विज्ञान एवं गणित कॉम्पिटिशन में 40 फाइनल प्रतियोगियों में 5 भारतीय-अमेरिकी शामिल,education,"['में', 'अमेरिकी', 'प्रतिष्ठित', 'विज्ञान', 'एवं']",Neutral
"International Day of Education 2023: आज है अंतरराष्ट्रीय शिक्षा दिवस, जानिए क्या है इस साल का थीम और क्यों मनाया जाता है यह दिन",education,['है'],Neutral
"''बचपन इतना चुनौतीपूर्ण पहले कभी नहीं रहा,'' बाल लेखिका कैथरीन रंडेल बोलीं",education,"['बचपन', 'इतना', 'चुनौतीपूर्ण', 'पहले']",Neutral
"आज का इतिहासः खास है आज का दिन, पूर्वोत्तर के तीन राज्यों का हुआ उदय",education,"['का', 'आज', 'इतिहासः', 'खास', 'है']",Neutral
"Maharashtra HSC exams 2023: महाराष्ट्र बोर्ड परीक्षा के लिए पंजीकरण कराने वाले छात्रों की संख्या में भारी वृद्धि, संख्या 3 लाख से पार",education,['संख्या'],Neutral
BSE Odisha 10th Result 2022: ओडिशा कक्षा 10वीं का समेटिक-असेसमेंट-1 रिजल्ट bseodisha.ac.in पर जारी,education,[],Neutral
Chhattisgarh Board Exam 2023: छत्तीसगढ़ बोर्ड ने जारी किया 10वीं और 12वीं बोर्ड परीक्षा के टाइम टेबल,education,['बोर्ड'],Neutral
"Bihar Board STET 2022: बिहार बोर्ड ने माध्यमिक शिक्षक पात्रता परीक्षा के लिए आवेदन की तिथि बढ़ाई, अब इस डेट तक करें Apply",education,[],Neutral
"बनारस हिंदू यूनिवर्सिटी में Artificial Intelligence में सर्टिफिकेट कोर्स के लिए आवेदन शुरू, कोर्स फीस में मिलेगी छूट",education,"['में', 'कोर्स', 'बनारस', 'हिंदू', 'यूनिवर्सिटी']",Negative
"भारत के IITians, ISBians और  NIT के छात्र मड्रेक्स के वेब3 कम्युनिटी WAGMI से जुड़ें, 20 संस्थानों के कुल 15 स्टूडेंट क्लब भी शामिल",education,"['के', 'भारत']",Neutral
Haryana CET Result 2022: हरियाणा में ग्रुप सी पदों पर भर्ती के लिए आयोग ने जारी किया हरियाणा सीईटी का रिजल्ट,education,['हरियाणा'],Neutral
"SNAP Result 2022: Symbiosis यूनिवर्सिटी ने जारी किया सिम्बायोसिस नेशनल एप्टीट्यूड का रिजल्ट, इस Link से चेक करें",education,[],Neutral
"MH CET LLB 2023: महाराष्ट्र सीईटी एलएलबी परीक्षा तिथियों का ऐलान, अप्रैल और मई में होगी परीक्षा",education,['परीक्षा'],Neutral
"HPBOSE 10, 12 Date Sheet 2023: एचपी बोर्ड 10वीं, 12वीं की परीक्षाएं मार्च से, बोर्ड परीक्षा का टाइमटेबल जारी",education,['बोर्ड'],Neutral
"NEET SS Counselling 2022: सुपर स्पेशिऐलिटी राउंड 2 फाइनल रिजल्ट जारी, आवंटित कॉलेज को 12 जनवरी तक करें रिपोर्ट",education,[],Neutral
NEET UG Counselling 2022: एमसीसी ने जारी किया बीडीएस और बीएससी नर्सिंग के मॉप-अप राउंड 2 का प्रोविजनल रिजल्ट,education,[],Neutral
"GATE 2023: गेट एडमिट कार्ड पर आया नया अपडेट, आज जारी नहीं होगा एडमिट कार्ड, अब इस तारीख को कर पाएंगे डाउनलोड",education,"['एडमिट', 'कार्ड']",Neutral
"Maharashtra Board Exam 2023: महाराष्ट्र बोर्ड की कक्षा 10वीं, 12वीं बोर्ड परीक्षा की तिथियां जारी",education,"['बोर्ड', 'की']",Neutral
"JEE Main 2023: जेईई मेन रजिस्ट्रेशन की प्रक्रिया कुछ ही हफ्तों में हो जाएगी समाप्त, जल्दी भरें फॉर्म",education,['जेईई'],Positive
DU Admission 2023: डीयू ने यूजी एडमिशन के आखिरी राउंड में भी खाली रह गई कुछ सीटें,education,['डीयू'],Neutral
"UKPSC Exam Calendar 2023: उत्तराखंड लोक सेवा आयोग ने जारी किया साल 2023 की भर्ती परीक्षा का कैलेंडर, राज्य में 32 परीक्षाएं होंगी",education,[],Neutral
"JKBOSE 2023 Board Exams: जम्मू-कश्मीर बोर्ड परीक्षा के फॉर्म भरने की अंतिम तिथि आज, जल्दी करें",education,[],Neutral
"CTET Admit Card 2022: जारी हुआ केंद्रीय शिक्षक पात्रता परीक्षा का एडमिट कार्ड,  Direct Link से डाउनलोड करें",education,[],Neutral
"CLAT 2023: consortiumofnlus.ac.in पर जारी हुआ क्लैट 2023 का फाइनल आंसर-की, Direct Link",education,['पर'],Neutral
"CBSE ने स्पेशल नीड्स वाले बच्चों के लिए खोला एप्लीकेशन लिंक, स्कूल को 30 तक देना होगा डिटेल",education,"['ने', 'स्पेशल', 'नीड्स', 'वाले']",Neutral
"UPSC अभ्यर्थी एक्स्ट्रा अटेम्प्ट की मांग लेकर दे रहे थे धरना, बदले में मिली पुलिस की लाठियां",education,"['की', 'अभ्यर्थी', 'एक्स्ट्रा', 'अटेम्प्ट']",Neutral
DU NCWEB PG Admission 2022: डीयू एनसीडब्ल्यूईबी स्पेशल ड्राइव कट-ऑफ के लिए ऑनलाइन प्रवेश प्रक्रिया आज से शुरू,education,[],Neutral
"Telangana Board Exam 2023: तेलंगाना इंटरमीडिएट First Year और Second Year की परीक्षाओं का टाइमटेबल जारी, परीक्षा मार्च से शुरू",education,[],Positive
"बोर्ड परीक्षाओं और जेईई मेन परीक्षा तिथियों में क्लैश, परीक्षा स्थगित करने की उठी मांग",education,"['परीक्षा', 'बोर्ड', 'परीक्षाओं', 'और', 'जेईई']",Neutral
"AILET 2023 आंसर-की ऑब्जेक्शन विंडो क्लोज, फाइनल आंसर-की बहुत जल्द",education,"['आंसर', 'की', 'ऑब्जेक्शन', 'विंडो']",Neutral
BSEB Class 12 Exam: बिहार बोर्ड इंटर परीक्षा के लिए रजिस्ट्रेशन फॉर्म भरने की अंतिम तारीख आज,education,[],Neutral
भारतीय करेंसी नोटों पर महात्मा गांधी के अलावा किस-किसकी तस्वीर छपती हैं...?,education,"['भारतीय', 'करेंसी', 'नोटों', 'पर', 'महात्मा']",Neutral
"IIFT MBA 2023 एग्जाम सिटी स्लिप जारी, एडमिट कार्ड बहुत जल्द",education,"['एग्जाम', 'सिटी']",Neutral
CBSE Board 2023: 10वीं में 40 फीसदी और 12वीं में 30 फीसदी सवाल योग्यता आधारित होंगे,education,"['में', 'फीसदी']",Neutral
"DU PG Admission 2022: डीयू पीजी एडमिशन की तीसरी लिस्ट आज होगी जारी, Direct Link से चेक करें",education,[],Neutral
UGC के नए मसौदा नियम : तीन के बजाय चार साल की पढ़ाई के बाद मिलेगी स्नातक ‘ऑनर्स’ की डिग्री,education,"['के', 'की', 'नए', 'मसौदा']",Neutral
"दून यूनिवर्सिटी के दीक्षांत समारोह में पहुंचीं राष्ट्रपति द्रौपदी मुर्मू, कहा- मातृभूमि, मातृभाषा और मां का करें सम्मान",education,"['दून', 'यूनिवर्सिटी', 'के', 'दीक्षांत']",Neutral
"Iftar party: इफ्तार पार्टी में आ रहे हैं वेजिटेरियन दोस्त तो दावत में बनाएं हरा-भरा कबाब, नोट करें रेसिपी",food,"['में', 'इफ्तार']",Neutral
"Ramadan Special Recipe: इफ्तार पार्टी में कुछ मीठा बनाने का है मन तो ट्राई करें शाही टुकड़ा, यहां देखें रेसिपी",food,['इफ्तार'],Positive
"घुटने तक बालों को लंबा करने के लिए नारियल तेल में ये चीज मिलाकर बालों पर लगा लें, गारंटी से 10 दिनों में दिखेगा असर",food,"['बालों', 'में', 'घुटने', 'तक', 'को']",Neutral
"रात को सोने से पहले दूध के साथ चबाकर खालें ये काली चीज, सालों से पेट में जमा गंदगी हो जाएगी साफ,  कब्ज होगी छूमंतर",food,"['से', 'रात', 'को', 'सोने']",Neutral
"मीठा खाने की हो रही है क्रेविंग तो घर पर बनाएं कुट्टू के आटे से ब्राउनी, हेल्दी और टेस्टी है ये कॉम्बिनेशन",food,"['है', 'मीठा', 'खाने', 'की', 'हो']",Neutral
"शरीर में मांस से ज्यादा दिखने लगी हैं हड्डियां तो आज ही डाइट में शामिल करें ये 5 Muscle Gain Foods, 7 दिनों में भरने लगेगा शरीर",food,"['में', 'शरीर', 'मांस', 'से', 'ज्यादा']",Neutral
"ये एक ऐसी चीज है जो गंजे सिर पर भी उगा सकती है नए बाल, जानिए इसे कैसे करना है इस्तेमाल",food,"['है', 'ये', 'एक', 'ऐसी', 'चीज']",Neutral
"डायबिटीज के मरीज रोटी बनाने से पहले गेंहू के आटे में मिला लें ये 2 तरह के बीज, कंट्रोल में रहेगा ब्लड शुगर और...",food,"['के', 'में', 'डायबिटीज', 'मरीज', 'रोटी']",Neutral
"होली के लिए घर पर फटाफट से बनाकर तैयार करें मार्केट स्टाइल गुझिया, नोट करें क्विक रेसिपी",food,"['करें', 'होली', 'के', 'लिए', 'घर']",Neutral
"5 से 14 साल के बच्चों को दूध में मिलाकर खिला दिया घर का बना ये पाउडर, तो हो जाएगा कमाल, ताड़ से लंबा होगा बच्चा, कम्यूटर से तेज दौड़ेगा दिमाग",food,"['से', 'साल']",Neutral
"बाजार जैसे क्रंची पापड़ घर पर बनाना है आसान, इस तरह बनाएं इंस्टेंट पापड़, महज 15 मिनटों में बनकर होगा तैयार",food,"['पापड़', 'बाजार', 'जैसे', 'क्रंची']",Neutral
"बालों को जल्दी लंबा करने के लिए खाएं ये 5 खट्टी चीजें, फटाफट घुटनों तक लंबे हो जाएंगे बाल, महीनेभर में दिखेगा असर",food,"['बालों', 'को', 'जल्दी', 'लंबा']",Neutral
"पाइल्स की समस्या से हैं परेशान? टॉयलेट में लगता है टाइम तो इस चीज का ऐसे करें सेवन, तुरंत मिलेगी...",food,"['पाइल्स', 'की', 'समस्या', 'से', 'हैं']",Neutral
"गंजी खोपड़ी पर भी आने लगेंगे बाल, इस सब्जी के तेल का ऐसे करें इस्तेमाल, बाल बनेंगे लंबे, घने और मजबूत",food,"['बाल', 'गंजी', 'खोपड़ी', 'पर']",Neutral
"Ramadan 2024 Special: रमजान में इफ्तार पार्टी के लिए बनाएं मलाई चिकन कोन, देखते ही मुंह में आ ...",food,['में'],Positive
इलेक्ट्रोलाइट कैसे बढ़ाएं? शरीर में इलेक्ट्रोलाइट्स की कमी को पूरा करने के लिए डाइट में शामिल करें ये फूड्स,food,"['में', 'इलेक्ट्रोलाइट', 'कैसे', 'बढ़ाएं']",Neutral
"Gulab Jamun Pizza: वायरल गुलाब जामुन पिज़्ज़ा देख इंटरनेट यूजर हुए हैरान, यहां देखें वायरल वीडियो",food,['वायरल'],Neutral
Holi Skin Care Tips: होली के केमिकल वाले रंगों से स्किन को बचाने के लिए अभी से शुरू कर दें इन इन चीजों...,food,"['के', 'से', 'इन']",Neutral
"शेफ गॉर्डन रामसे ने अपनी मां के लिए बनाई ये डिश, जिसे देख मां ने कहा...",food,"['ने', 'मां', 'शेफ', 'गॉर्डन', 'रामसे']",Neutral
वजन कम करने और पेट की चर्बी को तेजी से मेल्ट करने के लिए किचन में मौजूद इस भारतीय मसाले का ऐसे करें इस्तेमाल,food,"['करने', 'वजन', 'कम', 'और', 'पेट']",Neutral
"भूख कम लगने लगी है, खाने का नहीं करता है मन, तो इस सब्जी को डाइट में करें शामिल, बढ़ने लगेगी...",food,"['है', 'भूख', 'कम', 'लगने']",Neutral
